Order_ID,Order_Priority,Order_Quantity,Sales,Ship_Mode,Profit,Region,Customer_Segment,Product_Category,Product_Sub-Category,Product_Name,Product_Container
643,High,21,2781.82,Express Air,-695.26,Nunavut,Corporate,Office Supplies,Storage & Organization,"Safco Commercial Wire Shelving, Black",Large Box
8995,High,35,3389.93,Express Air,737.94,Northwest Territories,Consumer,Furniture,Office Furnishings,Luxo Professional Combination Clamp-On Lamps,Large Box
9127,Not Specified,7,2039.56,Express Air,-329.49,Northwest Territories,Corporate,Office Supplies,Storage & Organization,"Tennsco Snap-Together Open Shelving Units, Starter Sets And Add-On Units",Large Box
26272,Low,6,905.94,Express Air,-4.19,Northwest Territories,Home Office,Furniture,Chairs & Chairmats,Hon Olson Stacker Stools,Large Box
36646,Medium,24,1168.15,Express Air,-743.96,Northwest Territories,Small Business,Office Supplies,Storage & Organization,Tennsco Industrial Shelving,Large Box
41696,Not Specified,45,237.28,Express Air,-2088.68,Northwest Territories,Small Business,Office Supplies,Appliances,Hoover Portapower™ Portable Vacuum,Large Box
43267,Critical,17,1368.14,Express Air,171.26,Northwest Territories,Home Office,Office Supplies,Appliances,Honeywell Enviracaire® Portable Air Cleaner For Up To 8 X 10 Room,Large Box
29319,Low,21,4429.69,Express Air,983.55,Atlantic,Small Business,Technology,Copiers And Fax,Canon Pc-428 Personal Copier,Large Box
5988,Not Specified,40,19109.61,Express Air,-379.29,West,Home Office,Technology,Copiers And Fax,Sharp Al-1530Cs Digital Copier,Large Box
51073,Not Specified,17,2475.08,Express Air,958.8,West,Corporate,Furniture,Office Furnishings,"3M Polarizing Task Lamp With Clamp Arm, Light Gray",Large Box
29185,High,48,446.53,Express Air,-261.45,West,Corporate,Furniture,Office Furnishings,Westinghouse Clip-On Gooseneck Lamps,Large Box
32582,Not Specified,27,2780.88,Express Air,595.38,West,Consumer,Furniture,Office Furnishings,Deflect-O Duramat Antistatic Studded Beveled Mat For Medium Pile Carpeting,Large Box
39332,Critical,4,198.72,Express Air,-34.43,West,Consumer,Furniture,Office Furnishings,Dana Halogen Swing-Arm Architect Lamp,Large Box
49088,Critical,15,4012.58,Express Air,-425.14,Atlantic,Consumer,Office Supplies,Storage & Organization,"Tennsco Snap-Together Open Shelving Units, Starter Sets And Add-On Units",Large Box
29318,Not Specified,21,2954.14,Express Air,-522.94,Ontario,Corporate,Office Supplies,Storage & Organization,"Safco Commercial Wire Shelving, Black",Large Box
50533,Not Specified,32,1974.66,Express Air,-929.68,Ontario,Small Business,Office Supplies,Storage & Organization,Space Solutions Commercial Steel Shelving,Large Box
21383,Low,31,16066.85,Regular Air,7416.43,Northwest Territories,Consumer,Technology,Office Machines,Polycom Viavideo™ Desktop Video Communications Unit,Large Box
48197,Not Specified,32,1282.49,Regular Air,154.74,West,Consumer,Furniture,Office Furnishings,Dana Halogen Swing-Arm Architect Lamp,Large Box
25031,High,24,4636.62,Regular Air,-318.45,West,Consumer,Furniture,Tables,Hon 2111 Invitation™ Series Corner Table,Large Box
38758,Not Specified,7,497.2,Regular Air,-219.61,West,Consumer,Office Supplies,Appliances,Euro Pro Shark Stick Mini Vacuum,Large Box
41895,Critical,8,27663.92,Regular Air,-391.92,West,Consumer,Technology,Copiers And Fax,Canon Imageclass 2200 Advanced Copier,Large Box
53894,Critical,37,2756.17,Regular Air,-1561.72,Atlantic,Consumer,Furniture,Tables,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Large Box
11969,Not Specified,16,1684.96,Regular Air,-553.06,Atlantic,Consumer,Office Supplies,Storage & Organization,"Carina Mini System Audio Rack, Model Ar050B",Large Box
22368,Medium,34,2788.04,Regular Air,-849.18,Atlantic,Consumer,Office Supplies,Storage & Organization,"Carina 42""Hx23 3/4""W Media Storage Unit",Large Box
4612,Medium,9,89.55,Regular Air,-375.64,Nunavut,Corporate,Office Supplies,Appliances,Hoover Portapower™ Portable Vacuum,Large Box
7110,Low,22,6396.2,Regular Air,1902.24,Nunavut,Corporate,Furniture,Chairs & Chairmats,Safco Arco Folding Chair,Large Box
9927,High,44,10087.6,Regular Air,3387.35,Northwest Territories,Corporate,Furniture,Chairs & Chairmats,"Lifetime Advantage™ Folding Chairs, 4/Carton",Large Box
11456,Low,15,1519.9,Regular Air,399.37,Northwest Territories,Corporate,Furniture,Office Furnishings,Deflect-O Duramat Antistatic Studded Beveled Mat For Medium Pile Carpeting,Large Box
24743,Low,26,3758.77,Regular Air,753.61,Northwest Territories,Corporate,Furniture,Chairs & Chairmats,Hon Olson Stacker Stools,Large Box
30658,Medium,35,17387.65,Regular Air,6907.61,Northwest Territories,Corporate,Technology,Copiers And Fax,Sharp Al-1530Cs Digital Copier,Large Box
30658,Medium,44,6040.22,Regular Air,-942.5,Northwest Territories,Corporate,Office Supplies,Storage & Organization,"Safco Commercial Wire Shelving, Black",Large Box
31393,Critical,4,97.57,Regular Air,-27.31,Northwest Territories,Corporate,Furniture,Office Furnishings,Luxo Economy Swing Arm Lamp,Large Box
34631,Not Specified,19,12616.2,Regular Air,2808.22,Northwest Territories,Corporate,Technology,Copiers And Fax,Canon Pc1060 Personal Laser Copier,Large Box
39683,High,41,8387.1,Regular Air,2113.95,Northwest Territories,Corporate,Furniture,Chairs & Chairmats,"Lifetime Advantage™ Folding Chairs, 4/Carton",Large Box
42209,High,31,8901.78,Regular Air,2795.36,Northwest Territories,Corporate,Furniture,Chairs & Chairmats,Safco Arco Folding Chair,Large Box
52964,Critical,44,5735.79,Regular Air,828.27,Northwest Territories,Corporate,Furniture,Office Furnishings,"3M Polarizing Task Lamp With Clamp Arm, Light Gray",Large Box
4007,High,1,305.82,Regular Air,-232.24,Atlantic,Corporate,Office Supplies,Storage & Organization,"Tennsco Snap-Together Open Shelving Units, Starter Sets And Add-On Units",Large Box
11362,Low,9,6420.87,Regular Air,-690.21,Atlantic,Corporate,Technology,Copiers And Fax,Canon Pc1060 Personal Laser Copier,Large Box
18788,Not Specified,27,566.12,Regular Air,-19.33,Atlantic,Corporate,Furniture,Office Furnishings,Telescoping Adjustable Floor Lamp,Large Box
20033,Critical,5,2543.95,Regular Air,-1011.32,Atlantic,Corporate,Technology,Copiers And Fax,Sharp Al-1530Cs Digital Copier,Large Box
22469,High,24,1482.81,Regular Air,-678.63,Atlantic,Corporate,Office Supplies,Appliances,Euro Pro Shark Stick Mini Vacuum,Large Box
22469,High,23,6693.28,Regular Air,40.32,Atlantic,Corporate,Furniture,Tables,Hon 5100 Series Wood Tables,Large Box
30243,Critical,21,4242.76,Regular Air,340.88,Atlantic,Corporate,Technology,Copiers And Fax,Canon Pc-428 Personal Copier,Large Box
32199,High,1,3672.89,Regular Air,-3061.82,Atlantic,Corporate,Technology,Copiers And Fax,Canon Imageclass 2200 Advanced Copier,Large Box
33763,Not Specified,23,10791.38,Regular Air,-234.79,Atlantic,Corporate,Technology,Copiers And Fax,Sharp Al-1530Cs Digital Copier,Large Box
36677,Low,38,23255.61,Regular Air,-734.33,Atlantic,Corporate,Technology,Copiers And Fax,Canon Image Class D660 Copier,Large Box
38310,High,4,62.45,Regular Air,-141.76,Atlantic,Corporate,Office Supplies,Appliances,Hoover® Commercial Lightweight Upright Vacuum,Large Box
47846,High,5,66.43,Regular Air,-9.45,Atlantic,Corporate,Furniture,Office Furnishings,Dana Swing-Arm Lamps,Large Box
50404,High,10,1961.68,Regular Air,-367.0,Prarie,Corporate,Furniture,Tables,"Lesro Round Back Collection Coffee Table, End Table",Large Box
51461,Not Specified,43,858.53,Regular Air,-97.54,Prarie,Corporate,Furniture,Office Furnishings,Telescoping Adjustable Floor Lamp,Large Box
54501,Critical,38,783.96,Regular Air,-1195.29,Prarie,Corporate,Office Supplies,Storage & Organization,Tennsco Commercial Shelving,Large Box
55138,High,22,1132.54,Regular Air,-628.38,Prarie,Corporate,Office Supplies,Storage & Organization,Tennsco Industrial Shelving,Large Box
44320,Medium,49,7002.08,Regular Air,-1640.51,West,Corporate,Furniture,Tables,Laminate Occasional Tables,Large Box
1925,Critical,7,1874.37,Regular Air,67.84,West,Corporate,Furniture,Chairs & Chairmats,Safco Arco Folding Chair,Large Box
24070,High,3,431.29,Regular Air,-164.59,West,Corporate,Furniture,Chairs & Chairmats,Hon Olson Stacker Stools,Large Box
52035,High,29,20872.16,Regular Air,-4437.91,West,Corporate,Technology,Copiers And Fax,Canon Pc1060 Personal Laser Copier,Large Box
4261,Critical,32,9235.97,Regular Air,2848.17,West,Corporate,Office Supplies,Appliances,Honeywell Enviracaire Portable Hepa Air Cleaner For 17' X 22' Room,Large Box
8992,High,3,441.43,Regular Air,-154.45,West,Corporate,Furniture,Chairs & Chairmats,Hon Olson Stacker Stools,Large Box
20961,Not Specified,34,6607.92,Regular Air,1462.72,West,Corporate,Technology,Copiers And Fax,Canon Pc-428 Personal Copier,Large Box
47750,Low,1,195.04,Regular Air,-149.41,Atlantic,Corporate,Office Supplies,Storage & Organization,Office Impressions Heavy Duty Welded Shelving & Multimedia Storage Drawers,Large Box
48230,Not Specified,31,2645.8,Regular Air,-684.78,Prarie,Corporate,Office Supplies,Storage & Organization,"Carina 42""Hx23 3/4""W Media Storage Unit",Large Box
36449,Not Specified,6,90.75,Regular Air,-26.39,Ontario,Corporate,Furniture,Office Furnishings,"Tensor ""Hersey Kiss"" Styled Floor Lamp",Large Box
53152,Medium,9,196.41,Regular Air,27.91,Ontario,Corporate,Furniture,Office Furnishings,Telescoping Adjustable Floor Lamp,Large Box
15907,High,36,3722.29,Express Air,950.68,Northwest Territories,Home Office,Furniture,Office Furnishings,"Tenex 46"" X 60"" Computer Anti-Static Chairmat, Rectangular Shaped",Medium Box
49952,High,12,1323.67,Express Air,630.28,Northwest Territories,Corporate,Furniture,Office Furnishings,"Tenex Contemporary Contur Chairmats For Low And Medium Pile Carpet, Computer, 39"" X 49""",Medium Box
5153,Critical,37,4896.93,Express Air,1467.82,Atlantic,Home Office,Furniture,Chairs & Chairmats,Safco Folding Chair Trolley,Medium Box
25315,Low,36,7783.36,Express Air,3506.24,Atlantic,Consumer,Office Supplies,Appliances,Holmes Harmony Hepa Air Purifier For 17 X 20 Room,Medium Box
31941,Medium,32,2564.45,Express Air,650.73,West,Small Business,Office Supplies,Appliances,Honeywell Quietcare Hepa Air Cleaner,Medium Box
2848,Critical,35,1476.39,Express Air,-303.62,West,Home Office,Furniture,Office Furnishings,Eldon Advantage® Chair Mats For Low To Medium Pile Carpets,Medium Box
8801,Low,32,2593.08,Express Air,-673.31,West,Consumer,Furniture,Office Furnishings,Eldon Cleatmat Plus™ Chair Mats For High Pile Carpets,Medium Box
18432,High,15,217.66,Express Air,-24.91,Atlantic,Corporate,Office Supplies,Appliances,Holmes Odor Grabber,Medium Box
49441,Medium,49,1981.26,Express Air,100.8,Prarie,Home Office,Furniture,Office Furnishings,"Deflect-O Economat Studded, No Bevel Mat For Low Pile Carpeting",Medium Box
16165,Not Specified,24,1452.48,Express Air,376.52,Prarie,Small Business,Furniture,Office Furnishings,Deflect-O Glass Clear Studded Chair Mats,Medium Box
515,Not Specified,19,394.27,Regular Air,30.94,Nunavut,Consumer,Office Supplies,Appliances,Holmes Hepa Air Purifier,Medium Box
7906,Medium,37,1003.06,Regular Air,271.78,Nunavut,Consumer,Office Supplies,Appliances,3M Office Air Cleaner,Medium Box
50754,Not Specified,9,64.0305,Regular Air,-58.34,Northwest Territories,Consumer,Technology,Telephones And Communication,Bell Sonecor Jb700 Caller Id,Medium Box
21223,Not Specified,8,435.29,Regular Air,122.41,Atlantic,Consumer,Furniture,Office Furnishings,"Deflect-O Economat Nonstudded, No Bevel Mat",Medium Box
53508,High,25,342.85,Regular Air,-32.42,Prarie,Consumer,Technology,Office Machines,Sharp El500L Fraction Calculator,Medium Box
15621,Critical,39,1105.66,Regular Air,-136.2,West,Consumer,Office Supplies,Storage & Organization,Eldon Portable Mobile Manager,Medium Box
22980,Not Specified,17,224.09,Regular Air,-27.92,West,Consumer,Office Supplies,Storage & Organization,Eldon Simplefile® Box Office®,Medium Box
59584,Medium,7,1120.27,Regular Air,16.81,West,Consumer,Technology,Office Machines,Canon Mp41Dh Printing Calculator,Medium Box
47108,Not Specified,7,131.55,Regular Air,-43.74,Atlantic,Consumer,Technology,Office Machines,Canon P1-Dhiii Palm Printing Calculator,Medium Box
51494,Critical,42,493.56,Regular Air,12.73,Atlantic,Consumer,Technology,Office Machines,Ti 30X Scientific Calculator,Medium Box
6116,Medium,6,9620.82,Regular Air,-1759.58,Nunavut,Corporate,Office Supplies,"Scissors, Rulers And Trimmers",High Speed Automatic Electric Letter Opener,Medium Box
12289,Low,25,3019.41,Regular Air,1269.05,Northwest Territories,Corporate,Technology,Office Machines,Canon Bp1200Dh 12-Digit Bubble Jet Printing Calculator,Medium Box
12419,Critical,12,22079.47,Regular Air,5322.14,Northwest Territories,Corporate,Technology,Office Machines,Polycom Viewstation™ Adapter H323 Videoconferencing Unit,Medium Box
18144,Critical,8,234.28,Regular Air,-65.42,Northwest Territories,Corporate,Office Supplies,Storage & Organization,Eldon Portable Mobile Manager,Medium Box
19686,Medium,2,42.31,Regular Air,-53.08,Northwest Territories,Corporate,Technology,Office Machines,Canon P1-Dhiii Palm Printing Calculator,Medium Box
22469,High,44,275.91,Regular Air,-162.37,Northwest Territories,Corporate,Technology,Telephones And Communication,Bell Sonecor Jb700 Caller Id,Medium Box
27392,Low,37,5753.85,Regular Air,2509.52,Northwest Territories,Corporate,Technology,Office Machines,Canon Mp41Dh Printing Calculator,Medium Box
27553,Medium,16,2631.107,Regular Air,297.11,Northwest Territories,Corporate,Technology,Telephones And Communication,Vtech Vt20-2481 2.4Ghz Two-Line Phone System W/Answering Machine,Medium Box
28135,Critical,37,1601.24,Regular Air,520.69,Northwest Territories,Corporate,Office Supplies,Appliances,Bionaire Personal Warm Mist Humidifier/Vaporizer,Medium Box
32229,High,8,1219.19,Regular Air,44.37,Northwest Territories,Corporate,Technology,Office Machines,Canon Mp41Dh Printing Calculator,Medium Box
37860,Medium,1,104.85,Regular Air,-98.31,Northwest Territories,Corporate,Furniture,Office Furnishings,Eldon Cleatmat® Chair Mats For Medium Pile Carpets,Medium Box
39364,High,29,2754.93,Regular Air,-1.33,Northwest Territories,Corporate,Furniture,Office Furnishings,"Deflect-O Rollamat Studded, Beveled Mat For Medium Pile Carpeting",Medium Box
43236,Not Specified,20,205.33,Regular Air,10.68,Northwest Territories,Corporate,Furniture,Office Furnishings,Dax Solid Wood Frames,Medium Box
54274,Not Specified,20,1583.06,Regular Air,328.0,Northwest Territories,Corporate,Office Supplies,Appliances,Honeywell Quietcare Hepa Air Cleaner,Medium Box
57344,High,47,1060.0605,Regular Air,-71.03,Northwest Territories,Corporate,Technology,Telephones And Communication,Southwestern Bell Fa970 Digital Answering Machine With Time/Day Stamp,Medium Box
11362,Low,32,3245.73,Regular Air,569.57,Atlantic,Corporate,Furniture,Office Furnishings,"Rubbermaid Clustermat Chairmats, Mat Size- 66"" X 60"", Lip 20"" X 11"" -90 Degree Angle",Medium Box
13604,Not Specified,42,3609.88,Regular Air,-1396.22,Atlantic,Corporate,Furniture,Office Furnishings,Eldon Clustermat Chair Mat With Cordless Antistatic Protection,Medium Box
